iter	Passed	Remaining
0	68	6752
1	75	3703
2	81	2630
3	86	2076
4	88	1686
5	94	1481
6	97	1301
7	103	1186
8	108	1098
9	114	1029
10	119	968
11	125	918
12	130	875
13	136	839
14	142	808
15	148	777
16	153	750
17	159	725
18	165	705
19	171	685
20	177	665
21	182	647
22	188	630
23	193	612
24	199	597
25	205	584
26	207	561
27	213	548
28	227	556
29	234	546
30	239	533
31	245	521
32	250	508
33	255	496
34	261	485
35	266	474
36	269	458
37	274	448
38	280	438
39	286	429
40	288	414
41	294	406
42	302	400
43	308	392
44	314	383
45	319	375
46	325	366
47	330	358
48	336	350
49	351	351
50	358	344
51	364	336
52	369	327
53	374	318
54	379	310
55	384	302
56	386	291
57	391	283
58	396	275
59	401	267
60	407	260
61	412	252
62	417	244
63	422	237
64	424	228
65	429	221
66	434	213
67	439	207
68	445	199
69	450	192
70	455	185
71	460	179
72	465	172
73	470	165
74	475	158
75	480	151
76	485	145
77	491	138
78	496	131
79	501	125
80	506	118
81	511	112
82	516	105
83	521	99
84	526	92
85	532	86
86	535	79
87	540	73
88	545	67
89	550	61
90	555	54
91	560	48
92	565	42
93	570	36
94	576	30
95	581	24
96	587	18
97	592	12
98	597	6
99	602	0
